azimuth0,elevation0,temperature0,humidity0,vPanel0,azimuth1,elevation1,temperature1,humidity1,vPanel1,azimuth2,elevation2,temperature2,humidity2,vPanel2,azimuth3,elevation3,temperature3,humidity3,vPanel3,azimuth4,elevation4,temperature4,humidity4,vPanel4,azimuth5,elevation5,temperature5,humidity5,vPanel5,azimuth6,elevation6,temperature6,humidity6,vPanel6,azimuth7,elevation7,temperature7,humidity7,vPanel7
224.378,61.173,54.9,3.8,1.784,224.806,61.033,55.9,3.7,1.769,225.224,60.894,54.9,4.0,1.77,225.645,60.751,55.9,3.7,1.745,226.063,60.608,56.7,3.7,1.743,226.471,60.466,57.7,3.4,1.751,226.882,60.32,58.7,3.5,1.795,227.296,60.171,56.7,3.7,1.804
224.806,61.033,55.9,3.7,1.769,225.224,60.894,54.9,4.0,1.77,225.645,60.751,55.9,3.7,1.745,226.063,60.608,56.7,3.7,1.743,226.471,60.466,57.7,3.4,1.751,226.882,60.32,58.7,3.5,1.795,227.296,60.171,56.7,3.7,1.804,227.695,60.026,54.4,4.0,1.792
225.224,60.894,54.9,4.0,1.77,225.645,60.751,55.9,3.7,1.745,226.063,60.608,56.7,3.7,1.743,226.471,60.466,57.7,3.4,1.751,226.882,60.32,58.7,3.5,1.795,227.296,60.171,56.7,3.7,1.804,227.695,60.026,54.4,4.0,1.792,228.09,59.88,54.2,4.1,1.651
225.645,60.751,55.9,3.7,1.745,226.063,60.608,56.7,3.7,1.743,226.471,60.466,57.7,3.4,1.751,226.882,60.32,58.7,3.5,1.795,227.296,60.171,56.7,3.7,1.804,227.695,60.026,54.4,4.0,1.792,228.09,59.88,54.2,4.1,1.651,228.488,59.731,53.5,4.2,1.25
226.063,60.608,56.7,3.7,1.743,226.471,60.466,57.7,3.4,1.751,226.882,60.32,58.7,3.5,1.795,227.296,60.171,56.7,3.7,1.804,227.695,60.026,54.4,4.0,1.792,228.09,59.88,54.2,4.1,1.651,228.488,59.731,53.5,4.2,1.25,228.884,59.581,53.1,4.5,1.552
226.471,60.466,57.7,3.4,1.751,226.882,60.32,58.7,3.5,1.795,227.296,60.171,56.7,3.7,1.804,227.695,60.026,54.4,4.0,1.792,228.09,59.88,54.2,4.1,1.651,228.488,59.731,53.5,4.2,1.25,228.884,59.581,53.1,4.5,1.552,229.276,59.43,51.5,4.6,1.682
226.882,60.32,58.7,3.5,1.795,227.296,60.171,56.7,3.7,1.804,227.695,60.026,54.4,4.0,1.792,228.09,59.88,54.2,4.1,1.651,228.488,59.731,53.5,4.2,1.25,228.884,59.581,53.1,4.5,1.552,229.276,59.43,51.5,4.6,1.682,229.659,59.281,53.5,4.4,1.813
227.296,60.171,56.7,3.7,1.804,227.695,60.026,54.4,4.0,1.792,228.09,59.88,54.2,4.1,1.651,228.488,59.731,53.5,4.2,1.25,228.884,59.581,53.1,4.5,1.552,229.276,59.43,51.5,4.6,1.682,229.659,59.281,53.5,4.4,1.813,230.057,59.123,52.6,4.4,1.84
227.695,60.026,54.4,4.0,1.792,228.09,59.88,54.2,4.1,1.651,228.488,59.731,53.5,4.2,1.25,228.884,59.581,53.1,4.5,1.552,229.276,59.43,51.5,4.6,1.682,229.659,59.281,53.5,4.4,1.813,230.057,59.123,52.6,4.4,1.84,230.428,58.974,54.1,4.2,1.813
228.09,59.88,54.2,4.1,1.651,228.488,59.731,53.5,4.2,1.25,228.884,59.581,53.1,4.5,1.552,229.276,59.43,51.5,4.6,1.682,229.659,59.281,53.5,4.4,1.813,230.057,59.123,52.6,4.4,1.84,230.428,58.974,54.1,4.2,1.813,230.814,58.817,56.0,3.9,1.795
228.488,59.731,53.5,4.2,1.25,228.884,59.581,53.1,4.5,1.552,229.276,59.43,51.5,4.6,1.682,229.659,59.281,53.5,4.4,1.813,230.057,59.123,52.6,4.4,1.84,230.428,58.974,54.1,4.2,1.813,230.814,58.817,56.0,3.9,1.795,231.185,58.664,56.0,3.7,1.769
228.884,59.581,53.1,4.5,1.552,229.276,59.43,51.5,4.6,1.682,229.659,59.281,53.5,4.4,1.813,230.057,59.123,52.6,4.4,1.84,230.428,58.974,54.1,4.2,1.813,230.814,58.817,56.0,3.9,1.795,231.185,58.664,56.0,3.7,1.769,231.559,58.508,55.8,3.7,1.743
229.276,59.43,51.5,4.6,1.682,229.659,59.281,53.5,4.4,1.813,230.057,59.123,52.6,4.4,1.84,230.428,58.974,54.1,4.2,1.813,230.814,58.817,56.0,3.9,1.795,231.185,58.664,56.0,3.7,1.769,231.559,58.508,55.8,3.7,1.743,231.931,58.351,56.9,3.6,1.732
229.659,59.281,53.5,4.4,1.813,230.057,59.123,52.6,4.4,1.84,230.428,58.974,54.1,4.2,1.813,230.814,58.817,56.0,3.9,1.795,231.185,58.664,56.0,3.7,1.769,231.559,58.508,55.8,3.7,1.743,231.931,58.351,56.9,3.6,1.732,232.299,58.193,56.8,3.5,1.69
230.057,59.123,52.6,4.4,1.84,230.428,58.974,54.1,4.2,1.813,230.814,58.817,56.0,3.9,1.795,231.185,58.664,56.0,3.7,1.769,231.559,58.508,55.8,3.7,1.743,231.931,58.351,56.9,3.6,1.732,232.299,58.193,56.8,3.5,1.69,232.665,58.035,57.1,3.4,1.666
230.428,58.974,54.1,4.2,1.813,230.814,58.817,56.0,3.9,1.795,231.185,58.664,56.0,3.7,1.769,231.559,58.508,55.8,3.7,1.743,231.931,58.351,56.9,3.6,1.732,232.299,58.193,56.8,3.5,1.69,232.665,58.035,57.1,3.4,1.666,238.254,55.348,54.9,4.1,1.527
230.814,58.817,56.0,3.9,1.795,231.185,58.664,56.0,3.7,1.769,231.559,58.508,55.8,3.7,1.743,231.931,58.351,56.9,3.6,1.732,232.299,58.193,56.8,3.5,1.69,232.665,58.035,57.1,3.4,1.666,238.254,55.348,54.9,4.1,1.527,238.33,55.307,55.3,4.0,1.525
231.185,58.664,56.0,3.7,1.769,231.559,58.508,55.8,3.7,1.743,231.931,58.351,56.9,3.6,1.732,232.299,58.193,56.8,3.5,1.69,232.665,58.035,57.1,3.4,1.666,238.254,55.348,54.9,4.1,1.527,238.33,55.307,55.3,4.0,1.525,238.651,55.137,55.4,3.7,1.527
231.559,58.508,55.8,3.7,1.743,231.931,58.351,56.9,3.6,1.732,232.299,58.193,56.8,3.5,1.69,232.665,58.035,57.1,3.4,1.666,238.254,55.348,54.9,4.1,1.527,238.33,55.307,55.3,4.0,1.525,238.651,55.137,55.4,3.7,1.527,238.969,54.966,53.9,4.2,1.517
231.931,58.351,56.9,3.6,1.732,232.299,58.193,56.8,3.5,1.69,232.665,58.035,57.1,3.4,1.666,238.254,55.348,54.9,4.1,1.527,238.33,55.307,55.3,4.0,1.525,238.651,55.137,55.4,3.7,1.527,238.969,54.966,53.9,4.2,1.517,239.274,54.8,51.7,5.0,1.498
232.299,58.193,56.8,3.5,1.69,232.665,58.035,57.1,3.4,1.666,238.254,55.348,54.9,4.1,1.527,238.33,55.307,55.3,4.0,1.525,238.651,55.137,55.4,3.7,1.527,238.969,54.966,53.9,4.2,1.517,239.274,54.8,51.7,5.0,1.498,239.588,54.628,50.2,5.3,1.469
232.665,58.035,57.1,3.4,1.666,238.254,55.348,54.9,4.1,1.527,238.33,55.307,55.3,4.0,1.525,238.651,55.137,55.4,3.7,1.527,238.969,54.966,53.9,4.2,1.517,239.274,54.8,51.7,5.0,1.498,239.588,54.628,50.2,5.3,1.469,239.894,54.458,49.1,5.7,1.449
238.254,55.348,54.9,4.1,1.527,238.33,55.307,55.3,4.0,1.525,238.651,55.137,55.4,3.7,1.527,238.969,54.966,53.9,4.2,1.517,239.274,54.8,51.7,5.0,1.498,239.588,54.628,50.2,5.3,1.469,239.894,54.458,49.1,5.7,1.449,240.199,54.288,49.4,5.9,1.442
238.33,55.307,55.3,4.0,1.525,238.651,55.137,55.4,3.7,1.527,238.969,54.966,53.9,4.2,1.517,239.274,54.8,51.7,5.0,1.498,239.588,54.628,50.2,5.3,1.469,239.894,54.458,49.1,5.7,1.449,240.199,54.288,49.4,5.9,1.442,240.506,54.114,50.5,5.7,1.448
238.651,55.137,55.4,3.7,1.527,238.969,54.966,53.9,4.2,1.517,239.274,54.8,51.7,5.0,1.498,239.588,54.628,50.2,5.3,1.469,239.894,54.458,49.1,5.7,1.449,240.199,54.288,49.4,5.9,1.442,240.506,54.114,50.5,5.7,1.448,240.811,53.94,51.6,5.0,1.392
238.969,54.966,53.9,4.2,1.517,239.274,54.8,51.7,5.0,1.498,239.588,54.628,50.2,5.3,1.469,239.894,54.458,49.1,5.7,1.449,240.199,54.288,49.4,5.9,1.442,240.506,54.114,50.5,5.7,1.448,240.811,53.94,51.6,5.0,1.392,241.114,53.765,51.7,5.2,1.38
239.274,54.8,51.7,5.0,1.498,239.588,54.628,50.2,5.3,1.469,239.894,54.458,49.1,5.7,1.449,240.199,54.288,49.4,5.9,1.442,240.506,54.114,50.5,5.7,1.448,240.811,53.94,51.6,5.0,1.392,241.114,53.765,51.7,5.2,1.38,241.409,53.593,52.6,4.7,1.357
239.588,54.628,50.2,5.3,1.469,239.894,54.458,49.1,5.7,1.449,240.199,54.288,49.4,5.9,1.442,240.506,54.114,50.5,5.7,1.448,240.811,53.94,51.6,5.0,1.392,241.114,53.765,51.7,5.2,1.38,241.409,53.593,52.6,4.7,1.357,241.708,53.417,52.9,4.6,1.312
