azimuth0,elevation0,temperature0,humidity0,vPanel0,azimuth1,elevation1,temperature1,humidity1,vPanel1,azimuth2,elevation2,temperature2,humidity2,vPanel2,azimuth3,elevation3,temperature3,humidity3,vPanel3,azimuth4,elevation4,temperature4,humidity4,vPanel4
204.873,66.911,55.9,8.0,1.724,205.476,66.824,56.4,7.8,1.729,206.056,66.739,57.0,7.7,1.725,206.632,66.651,58.2,7.3,1.721,207.214,66.561,58.5,7.2,1.713
205.476,66.824,56.4,7.8,1.729,206.056,66.739,57.0,7.7,1.725,206.632,66.651,58.2,7.3,1.721,207.214,66.561,58.5,7.2,1.713,207.792,66.468,58.3,7.1,1.71
206.056,66.739,57.0,7.7,1.725,206.632,66.651,58.2,7.3,1.721,207.214,66.561,58.5,7.2,1.713,207.792,66.468,58.3,7.1,1.71,208.366,66.374,57.6,7.4,1.71
206.632,66.651,58.2,7.3,1.721,207.214,66.561,58.5,7.2,1.713,207.792,66.468,58.3,7.1,1.71,208.366,66.374,57.6,7.4,1.71,208.927,66.28,57.6,7.6,1.711
207.214,66.561,58.5,7.2,1.713,207.792,66.468,58.3,7.1,1.71,208.366,66.374,57.6,7.4,1.71,208.927,66.28,57.6,7.6,1.711,209.484,66.184,56.7,7.6,1.708
207.792,66.468,58.3,7.1,1.71,208.366,66.374,57.6,7.4,1.71,208.927,66.28,57.6,7.6,1.711,209.484,66.184,56.7,7.6,1.708,210.046,66.085,56.6,7.4,1.681
208.366,66.374,57.6,7.4,1.71,208.927,66.28,57.6,7.6,1.711,209.484,66.184,56.7,7.6,1.708,210.046,66.085,56.6,7.4,1.681,210.604,65.984,55.7,7.7,1.682
208.927,66.28,57.6,7.6,1.711,209.484,66.184,56.7,7.6,1.708,210.046,66.085,56.6,7.4,1.681,210.604,65.984,55.7,7.7,1.682,211.157,65.881,55.0,7.9,1.673
209.484,66.184,56.7,7.6,1.708,210.046,66.085,56.6,7.4,1.681,210.604,65.984,55.7,7.7,1.682,211.157,65.881,55.0,7.9,1.673,211.698,65.778,55.2,8.0,1.667
210.046,66.085,56.6,7.4,1.681,210.604,65.984,55.7,7.7,1.682,211.157,65.881,55.0,7.9,1.673,211.698,65.778,55.2,8.0,1.667,212.244,65.672,54.1,8.2,1.651
210.604,65.984,55.7,7.7,1.682,211.157,65.881,55.0,7.9,1.673,211.698,65.778,55.2,8.0,1.667,212.244,65.672,54.1,8.2,1.651,212.786,65.565,52.7,8.6,1.642
211.157,65.881,55.0,7.9,1.673,211.698,65.778,55.2,8.0,1.667,212.244,65.672,54.1,8.2,1.651,212.786,65.565,52.7,8.6,1.642,213.332,65.454,53.1,8.4,1.627
211.698,65.778,55.2,8.0,1.667,212.244,65.672,54.1,8.2,1.651,212.786,65.565,52.7,8.6,1.642,213.332,65.454,53.1,8.4,1.627,213.865,65.344,55.0,7.9,1.626
212.244,65.672,54.1,8.2,1.651,212.786,65.565,52.7,8.6,1.642,213.332,65.454,53.1,8.4,1.627,213.865,65.344,55.0,7.9,1.626,214.386,65.233,55.2,7.8,1.63
212.786,65.565,52.7,8.6,1.642,213.332,65.454,53.1,8.4,1.627,213.865,65.344,55.0,7.9,1.626,214.386,65.233,55.2,7.8,1.63,214.903,65.121,53.4,8.2,1.634
213.332,65.454,53.1,8.4,1.627,213.865,65.344,55.0,7.9,1.626,214.386,65.233,55.2,7.8,1.63,214.903,65.121,53.4,8.2,1.634,215.441,65.002,52.4,8.8,1.641
213.865,65.344,55.0,7.9,1.626,214.386,65.233,55.2,7.8,1.63,214.903,65.121,53.4,8.2,1.634,215.441,65.002,52.4,8.8,1.641,215.942,64.889,52.9,8.7,1.642
214.386,65.233,55.2,7.8,1.63,214.903,65.121,53.4,8.2,1.634,215.441,65.002,52.4,8.8,1.641,215.942,64.889,52.9,8.7,1.642,216.471,64.768,52.1,8.8,1.636
214.903,65.121,53.4,8.2,1.634,215.441,65.002,52.4,8.8,1.641,215.942,64.889,52.9,8.7,1.642,216.471,64.768,52.1,8.8,1.636,216.948,64.656,52.7,8.5,1.632
215.441,65.002,52.4,8.8,1.641,215.942,64.889,52.9,8.7,1.642,216.471,64.768,52.1,8.8,1.636,216.948,64.656,52.7,8.5,1.632,217.469,64.531,53.6,8.2,1.629
215.942,64.889,52.9,8.7,1.642,216.471,64.768,52.1,8.8,1.636,216.948,64.656,52.7,8.5,1.632,217.469,64.531,53.6,8.2,1.629,217.962,64.411,52.9,8.4,1.618
216.471,64.768,52.1,8.8,1.636,216.948,64.656,52.7,8.5,1.632,217.469,64.531,53.6,8.2,1.629,217.962,64.411,52.9,8.4,1.618,218.459,64.287,53.9,8.2,1.612
216.948,64.656,52.7,8.5,1.632,217.469,64.531,53.6,8.2,1.629,217.962,64.411,52.9,8.4,1.618,218.459,64.287,53.9,8.2,1.612,218.944,64.164,53.8,8.1,1.602
217.469,64.531,53.6,8.2,1.629,217.962,64.411,52.9,8.4,1.618,218.459,64.287,53.9,8.2,1.612,218.944,64.164,53.8,8.1,1.602,219.432,64.038,53.6,8.1,1.594
217.962,64.411,52.9,8.4,1.618,218.459,64.287,53.9,8.2,1.612,218.944,64.164,53.8,8.1,1.602,219.432,64.038,53.6,8.1,1.594,219.917,63.91,55.4,7.6,1.59
218.459,64.287,53.9,8.2,1.612,218.944,64.164,53.8,8.1,1.602,219.432,64.038,53.6,8.1,1.594,219.917,63.91,55.4,7.6,1.59,220.398,63.781,55.8,7.6,1.586
218.944,64.164,53.8,8.1,1.602,219.432,64.038,53.6,8.1,1.594,219.917,63.91,55.4,7.6,1.59,220.398,63.781,55.8,7.6,1.586,220.875,63.651,56.5,7.3,1.579
219.432,64.038,53.6,8.1,1.594,219.917,63.91,55.4,7.6,1.59,220.398,63.781,55.8,7.6,1.586,220.875,63.651,56.5,7.3,1.579,221.341,63.522,57.4,7.1,1.579
219.917,63.91,55.4,7.6,1.59,220.398,63.781,55.8,7.6,1.586,220.875,63.651,56.5,7.3,1.579,221.341,63.522,57.4,7.1,1.579,221.81,63.389,57.6,7.0,1.57
220.398,63.781,55.8,7.6,1.586,220.875,63.651,56.5,7.3,1.579,221.341,63.522,57.4,7.1,1.579,221.81,63.389,57.6,7.0,1.57,222.268,63.257,56.1,7.3,1.568
220.875,63.651,56.5,7.3,1.579,221.341,63.522,57.4,7.1,1.579,221.81,63.389,57.6,7.0,1.57,222.268,63.257,56.1,7.3,1.568,222.729,63.122,56.4,7.2,1.557
221.341,63.522,57.4,7.1,1.579,221.81,63.389,57.6,7.0,1.57,222.268,63.257,56.1,7.3,1.568,222.729,63.122,56.4,7.2,1.557,223.187,62.986,56.3,7.2,1.55
221.81,63.389,57.6,7.0,1.57,222.268,63.257,56.1,7.3,1.568,222.729,63.122,56.4,7.2,1.557,223.187,62.986,56.3,7.2,1.55,223.648,62.846,57.5,7.1,1.55
222.268,63.257,56.1,7.3,1.568,222.729,63.122,56.4,7.2,1.557,223.187,62.986,56.3,7.2,1.55,223.648,62.846,57.5,7.1,1.55,224.098,62.708,56.0,7.3,1.546
